
#Trajectory
#T	,x	,y	,z
11.5500000000,0.1029603730,-0.0991490764,0.1062519084
11.5600000000,0.1028844580,-0.0982185117,0.1062985387
11.5700000000,0.1027987727,-0.0972878243,0.1063446670
11.5800000000,0.1027033214,-0.0963571119,0.1063902874
11.5900000000,0.1025981095,-0.0954264721,0.1064353940
11.6000000000,0.1024831432,-0.0944960026,0.1064799809
11.6100000000,0.1023584302,-0.0935658012,0.1065240424
11.6200000000,0.1022239787,-0.0926359656,0.1065675727
11.6300000000,0.1020797983,-0.0917065936,0.1066105661
11.6400000000,0.1019258995,-0.0907777829,0.1066530171
11.6500000000,0.1017622938,-0.0898496312,0.1066949199
11.6600000000,0.1015889940,-0.0889222362,0.1067362690
11.6700000000,0.1014060134,-0.0879956958,0.1067770591
11.6800000000,0.1012133670,-0.0870701074,0.1068172846
11.6900000000,0.1010110702,-0.0861455686,0.1068569401
11.7000000000,0.1007991398,-0.0852221771,0.1068960204
11.7100000000,0.1005775935,-0.0843000302,0.1069345202
11.7200000000,0.1003464502,-0.0833792252,0.1069724343
11.7300000000,0.1001057296,-0.0824598596,0.1070097576
11.7400000000,0.0998554525,-0.0815420303,0.1070464849
11.7500000000,0.0995956408,-0.0806258346,0.1070826114
11.7600000000,0.0993263172,-0.0797113692,0.1071181319
11.7700000000,0.0990475058,-0.0787987309,0.1071530417
11.7800000000,0.0987592313,-0.0778880165,0.1071873359
11.7900000000,0.0984615197,-0.0769793223,0.1072210097
11.8000000000,0.0981543978,-0.0760727447,0.1072540585
11.8100000000,0.0978378936,-0.0751683798,0.1072864776
11.8200000000,0.0975120361,-0.0742663235,0.1073182626
11.8300000000,0.0971768551,-0.0733666717,0.1073494088
11.8400000000,0.0968323816,-0.0724695197,0.1073799119
11.8500000000,0.0964786475,-0.0715749630,0.1074097676
11.8600000000,0.0961156857,-0.0706830966,0.1074389715
11.8700000000,0.0957435303,-0.0697940154,0.1074675195
11.8800000000,0.0953622159,-0.0689078140,0.1074954075
11.8900000000,0.0949717786,-0.0680245867,0.1075226314
11.9000000000,0.0945722553,-0.0671444275,0.1075491871
11.9100000000,0.0941636837,-0.0662674303,0.1075750710
11.9200000000,0.0937461027,-0.0653936886,0.1076002790
11.9300000000,0.0933195521,-0.0645232956,0.1076248075
11.9400000000,0.0928840727,-0.0636563441,0.1076486528
11.9500000000,0.0924397062,-0.0627929268,0.1076718113
11.9600000000,0.0919864952,-0.0619331358,0.1076942795
11.9700000000,0.0915244835,-0.0610770630,0.1077160541
11.9800000000,0.0910537157,-0.0602248001,0.1077371315
